32 100 vgg_16 cifar10
16 113 vgg_16 cifar10
8 126 vgg_16 cifar10
4 151 vgg_16 cifar10
2 198 vgg_16 cifar10
1 313 vgg_16 cifar10
1 20 resnet cifar10
4 14 resnet cifar10
2 19 resnet cifar10
8 15 resnet cifar10
32 17 resnet cifar10
16 17 resnet cifar10
1 14 ResNet cifar10
1 5 ResNet_v2_101 cifar10
4 261 resnet_v2_101 cifar10
32 265 resnet_v2_101 cifar10
16 277 resnet_v2_101 cifar10
8 284 resnet_v2_101 cifar10
2 409 resnet_v2_101 cifar10
1 419 resnet_v2_101 cifar10
1 0 resnet_v2_101 cifar10
1 510 resnet_v2_101 cifar10
4 257 resnet_v2_101 cifar10
32 264 resnet_v2_101 cifar10
8 284 resnet_v2_101 cifar10
16 301 resnet_v2_101 cifar10
2 411 resnet_v2_101 cifar10
1 430 resnet_v2_101 cifar10
1 416 resnet_v2_101 cifar10
32 535 resnet_v2_101 cifar10
2 537 resnet_v2_101 cifar10
4 446 resnet_v2_101 cifar10
8 535 resnet_v2_101 cifar10
16 527 resnet_v2_101 cifar10
32 221 resnet_v2_101 cifar10
4 216 resnet_v2_101 cifar10
8 247 resnet_v2_101 cifar10
4 258 resnet_v2_101 cifar10
32 265 resnet_v2_101 cifar10
8 314 resnet_v2_101 cifar10
2 405 resnet_v2_101 cifar10
1 417 resnet_v2_101 cifar10
16 269 resnet_v2_101 cifar10
